hash	N	probL	probR	probU	probD	rt	rtL	rtR	rtU	rtD	world	actionstaken	square	existsL	existsR	existsU	existsD	Nr	Sr	Nl	Sl	Nu	Su	Nd	Sd
courtyard p(0,0);	126	0	0.7698412698	0	0.2301587302	2482	NA	2158	NA	2936	courtyard	2	X	FALSE	TRUE	FALSE	TRUE	0	0	0	0	0	0	0	0
courtyard p(0,0);p(1,0);	97	0	1	0	0	448	NA	448	NA	NA	courtyard	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
courtyard p(0,0);p(1,0);p(2,0);	97	0	1	0	0	456	NA	456	NA	NA	courtyard	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
courtyard p(0,0);p(1,0);p(2,0);p(3,0);	97	0	0.0103092784	0	0.9896907216	833	NA	370	NA	838	courtyard	2	D	TRUE	TRUE	FALSE	TRUE	0	0	4	6	0	0	2	1
courtyard p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	96	0	0	0	1	458.5	NA	NA	NA	458.5	courtyard	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
courtyard p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	96	0.9895833333	0	0	0.0104166667	852	856	NA	NA	358	courtyard	2	G	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
courtyard p(0,0);p(0,1);	29	0	0	0	1	428	NA	NA	NA	428	courtyard	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
courtyard p(0,0);p(0,1);p(0,2);	29	0	0	0	1	433	NA	NA	NA	433	courtyard	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
courtyard p(0,0);p(0,1);p(0,2);p(0,3);	29	0	0	0.0344827586	0.9655172414	422	NA	NA	2789	417.5	courtyard	2	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
courtyard p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	28	0	1	0	0	850	NA	850	NA	NA	courtyard	1	D	FALSE	TRUE	TRUE	FALSE	3	2	0	0	3	6	0	0
courtyard p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	28	0	1	0	0	432	NA	432	NA	NA	courtyard	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
courtyard p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);	28	0	1	0	0	462.5	NA	462.5	NA	NA	courtyard	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
courtyard p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	28	0	0.0357142857	0.9642857143	0	824	NA	1897	822	NA	courtyard	2	D	TRUE	TRUE	TRUE	FALSE	0	0	2	3	2	1	0	0
courtyard p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);	27	0	0	1	0	427	NA	NA	427	NA	courtyard	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
courtyard p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	27	0.962962963	0	0.037037037	0	632	654.5	NA	362	NA	courtyard	2	G	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
