world	node_location	NID	PARENTID	path_from_parent	depth	new_observations	steps_from_parent	steps_from_root	is_leaf	node_value	node_ep	black_remains
bunker3	(0,0)	N8280	NA	p(0,0);	0	0.0	0	0	FALSE	0.0	3	23
bunker3	(2,0)	N6231	N8280	p(0,0);p(1,0);p(2,0);	1	4.0	2	2	FALSE	0.7826087	10	19
bunker3	(2,4)	N3536	N6231	p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	2	5.0	4	6	FALSE	2.4782608	9	14
bunker3	(4,4)	N7985	N3536	p(2,4);p(3,4);p(4,4);	3	8.0	2	8	FALSE	6.043478	18	6
bunker3	(0,4)	N6108	N3536	p(2,4);p(1,4);p(0,4);	3	4.0	2	8	FALSE	4.1304345	6	10
bunker3	(0,4)	N9475	N7985	p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);	4	4.0	4	12	FALSE	8.391304	6	2
bunker3	(0,6)	N9875	N6108	p(0,4);p(0,5);p(0,6);	4	2.0	2	10	FALSE	5.1304345	3	8
bunker3	(4,4)	N8448	N6108	p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);	4	8.0	4	12	FALSE	9.086956	18	2
bunker3	(0,6)	N2965	N9475	p(0,4);p(0,5);p(0,6);	5	2.0	2	14	TRUE	9.73913	3	0
bunker3	(4,4)	N6534	N9875	p(0,6);p(0,5);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);	5	8.0	6	16	TRUE	11.47826	18	0
bunker3	(0,6)	N5121	N8448	p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);	5	2.0	6	18	TRUE	10.782608	3	0
