world	node	child	value	prob	N
courtyard	N3719219	N990982	6.8	0.7777777778	126
courtyard	N990982	N6673600	7.6666665	1	98
courtyard	N3719219	N3977188	8.2	0.2222222222	126
cubicles	N7210304	N2319363	9	0.848	125
cathedral	N5304576	N54855	9	1	126
courtyard	N3977188	N8241686	9.4	1	28
library	N1658372	N1133954	9.5	1	125
bunker3	N7803842	N8595069	9.73913	1	125
cubicles	N2319363	N2367950	9.75	1	107
labyrinth3	N4818702	N5198829	9.90909	1	126
courtyard	N8241686	N4988346	10	1	28
library	N1133954	N9553169	10.5	1	126
cubicles	N2367950	N4214308	10.5625	1	106
cubicles	N7210304	N8435133	10.652175	0.152	125
tworooms	N1780659	N5985613	10.679999	1	126
lab	N2989705	N744888	10.680001	1	122
garden	N331458	N1963853	10.8076935	1	124
bunker3	N8595069	N1657801	10.842105	1	126
roomG	N7374324	N329348	10.962962	1	125
labyrinth3	N5198829	N8899359	11.058824	1	126
cathedral	N54855	N608136	11.5	1	118
library	N9553169	N7453865	11.666667	0.7777777778	126
museum	N2199854	N3169031	11.807693	1	124
tworooms	N5985613	N1627744	11.849999	1	125
ikea	N7335783	N3251247	11.896551	1	125
bunker3	N1657801	N7360841	11.928571	0.5317460317	126
cubicles	N8435133	N9556533	11.944446	1	19
library	N9553169	N6857034	12.066667	0.2222222222	126
roomG	N329348	N3215843	12.090909	1	126
library	N7453865	N4124525	12.461538	1	98
lab	N744888	N8548928	12.500001	1	125
garden	N1963853	N5115068	12.578948	1	124
labyrinth3	N8899359	N8858377	12.727272	0.3650793651	126
labyrinth3	N8899359	N5316967	13.09091	0.380952381	126
ikea	N3251247	N9812190	13.124999	1	124
tworooms	N1627744	N7416731	13.2	0.648	125
cubicles	N9556533	N9487763	13.214287	0.968	125
cathedral	N608136	N7058269	13.299999	0.8086956522	115
roomG	N3215843	N9994126	13.3529415	0.5396825397	126
museum	N3169031	N599523	13.428573	1	126
cubicles	N2319363	N3487541	13.549999	0	107
bunker3	N1657801	N4351810	13.642858	0.4682539683	126
library	N6857034	N2272684	13.727272	0.9920634921	126
courtyard	N990982	N3622934	14	0	98
roomG	N3215843	N3886181	14.294119	0.4603174603	126
cathedral	N608136	N9813836	14.300001	0.1913043478	115
museum	N599523	N8999294	14.368422	0.736	125
ikea	N9812190	N6109064	14.526315	0.624	125
labyrinth3	N8899359	N7730376	14.545454	0.253968254	126
cubicles	N9556533	N4932175	14.642857	0.032	125
cubicles	N9487763	N9527877	14.700001	0.6349206349	126
labyrinth3	N5316967	N4592326	14.857143	0.4025974026	77
garden	N5115068	N7850553	15.000001	0.456	125
lab	N8548928	N9935630	15.076923	0.48	125
labyrinth3	N8858377	N4938213	15.166667	0.3766233766	77
roomG	N9994126	N8320789	15.272728	1	68
bunker3	N4351810	N6831977	15.3	0.1694915254	59
tworooms	N1627744	N2169075	15.466667	0.352	125
cubicles	N8435133	N4303499	15.499999	0	19
garden	N5115068	N7603509	15.571428	0.248	125
cubicles	N4932175	N7167978	15.583333	1	4
lab	N8548928	N2655524	15.692307	0.28	125
museum	N599523	N1035050	15.736841	0.264	125
roomG	N3886181	N413710	15.769232	0.7063492063	126
ikea	N9812190	N1448237	16.105263	0.376	125
library	N2272684	N4522484	16.166666	0.7063492063	126
cathedral	N7058269	N6051250	16.333332	0.3936170213	94
library	N6857034	N54623	16.454544	0.0079365079	126
labyrinth3	N8858377	N1078752	16.5	0.6233766234	77
labyrinth3	N5316967	N8407469	16.571428	0.5974025974	77
ikea	N6109064	N100354	16.692307	1	79
library	N2272684	N9747004	16.833332	0.2936507937	126
bunker3	N4351810	N9720811	16.9	0.8305084746	59
garden	N7603509	N2138712	16.916666	0.4	70
museum	N8999294	N3583653	16.928572	0.68	125
tworooms	N2169075	N2277	17	0.6818181818	44
cubicles	N9487763	N8892822	17.1	0.3650793651	126
tworooms	N2169075	N763696	17.166666	0.0454545455	44
roomG	N3886181	N5279315	17.307692	0.0079365079	126
museum	N8999294	N3878259	17.5	0.312	125
roomG	N3886181	N1443972	17.615383	0.2857142857	126
garden	N5115068	N4747663	17.714285	0.296	125
museum	N1035050	N9449477	17.8	0.0303030303	33
garden	N7850553	N6320060	18	0.4523809524	84
bunker3	N9720811	N3719886	18.25	1	49
tworooms	N2277	N6388298	18.3	0.7096774194	31
museum	N1035050	N9773808	18.333332	0.9696969697	33
ikea	N1448237	N4631048	18.357143	0.8253968254	126
garden	N7850553	N4613075	18.400002	0.5476190476	84
lab	N9935630	N9994475	18.444445	0.7297297297	74
tworooms	N2169075	N5159403	18.499998	0.2727272727	44
tworooms	N2277	N5127596	18.5	0.064516129	31
cubicles	N8892822	N9981263	18.5	0.9347826087	46
cathedral	N7058269	N6429694	18.666668	0.6063829787	94
roomG	N1443972	N2654501	18.727272	0.0833333333	36
lab	N8548928	N4538173	18.76923	0.24	125
ikea	N1448237	N2396034	18.785713	0.0158730159	126
cubicles	N8892822	N2137138	19	0.0652173913	46
library	N9747004	N8680754	19	1	37
cubicles	N9487763	N3493111	19.1	0	126
ikea	N4631048	N9016413	19.500002	0.9719626168	107
museum	N9773808	N4946088	19.692307	1	29
lab	N9935630	N7839123	19.777779	0.2702702703	74
ikea	N1448237	N234416	19.785715	0.1587301587	126
museum	N8999294	N7239905	19.785715	0.008	125
tworooms	N5159403	N1738800	19.9	0.85	20
tworooms	N2277	N7291500	19.900002	0.2258064516	31
garden	N7603509	N3123108	20.083336	0.6	70
garden	N4747663	N4619086	20.090908	0.464	125
garden	N4747663	N8246099	20.090908	0.536	125
tworooms	N5159403	N1559736	20.1	0.15	20
tworooms	N5159403	N7004659	20.1	0	20
cathedral	N6429694	N7958790	20.2	1	57
roomG	N5279315	N2518305	20.285713	1	2
cubicles	N9981263	N2053914	20.333332	0.976744186	43
garden	N4747663	N1289190	20.454544	0	125
museum	N3878259	N4337909	20.5	0.9210526316	38
roomG	N1443972	N7117627	20.545454	0	36
tworooms	N6388298	N2446217	20.571428	0.46875	32
lab	N4538173	N3633749	20.636364	0.38	50
lab	N4538173	N6476882	20.818182	0	50
ikea	N234416	N3896859	21	0.9130434783	23
roomG	N1443972	N8317607	21.09091	0.9166666667	36
garden	N4747663	N5433401	21.181818	0	125
lab	N4538173	N2899302	21.545456	0	50
museum	N3878259	N5843320	21.7	0.0526315789	38
lab	N4538173	N63617	21.72727	0.62	50
roomG	N8317607	N1983096	21.900002	0.9696969697	33
library	N2272684	N1620555	22.166666	0	126
ikea	N4631048	N6560058	22.166668	0	107
garden	N8246099	N7340845	22.222221	0.9850746269	67
