	world	node	child	value	prob	N	hash	dv_0.0	dv_0.01	dv_0.02	dv_0.03	dv_0.04	dv_0.05	dv_0.06	dv_0.07	dv_0.08	dv_0.09	dv_0.1	dv_0.11	dv_0.12	dv_0.13	dv_0.14	dv_0.15	dv_0.16	dv_0.17	dv_0.18	dv_0.19	dv_0.2	dv_0.21	dv_0.22	dv_0.23	dv_0.24	dv_0.25	dv_0.26	dv_0.27	dv_0.28	dv_0.29	dv_0.3	dv_0.31	dv_0.32	dv_0.33	dv_0.34	dv_0.35	dv_0.36	dv_0.37	dv_0.38	dv_0.39	dv_0.4	dv_0.41	dv_0.42	dv_0.43	dv_0.44	dv_0.45	dv_0.46	dv_0.47	dv_0.48	dv_0.49	dv_0.5	dv_0.51	dv_0.52	dv_0.53	dv_0.54	dv_0.55	dv_0.56	dv_0.57	dv_0.58	dv_0.59	dv_0.6	dv_0.61	dv_0.62	dv_0.63	dv_0.64	dv_0.65	dv_0.66	dv_0.67	dv_0.68	dv_0.69	dv_0.7	dv_0.71	dv_0.72	dv_0.73	dv_0.74	dv_0.75	dv_0.76	dv_0.77	dv_0.78	dv_0.79	dv_0.8	dv_0.81	dv_0.82	dv_0.83	dv_0.84	dv_0.85	dv_0.86	dv_0.87	dv_0.88	dv_0.89	dv_0.9	dv_0.91	dv_0.92	dv_0.93	dv_0.94	dv_0.95	dv_0.96	dv_0.97	dv_0.98	dv_0.99
49	bunker3	N4351810	N9720811	16.9	0.8305084745999999	59	bunker3 N4351810	2.3	2.446	2.592	2.738	2.884	3.03	3.176	3.322	3.468	3.614	3.76	3.906	4.052	4.198	4.344	4.49	4.636	4.782	4.928	5.074	5.22	5.366	5.512	5.658	5.804	5.95	6.096	6.242	6.388	6.534	6.68	6.826	6.972	7.118	7.264	7.41	7.556	7.702	7.848	7.994	8.14	8.286	8.432	8.578	8.724	8.87	9.016	9.162	9.308	9.454	9.6	9.746	9.892	10.038	10.184	10.33	10.476	10.622	10.768	10.914	11.06	11.206	11.352	11.498	11.644	11.79	11.936	12.082	12.228	12.374	12.52	12.666	12.812	12.958	13.104	13.25	13.396	13.542	13.688	13.834	13.98	14.126	14.272	14.418	14.564	14.71	14.856	15.002	15.148	15.294	15.44	15.586	15.732	15.878	16.024	16.17	16.316	16.462	16.608	16.754
48	bunker3	N4351810	N6831977	15.3	0.16949152539999998	59	bunker3 N4351810	11.4	11.439	11.478	11.517	11.556	11.595	11.634	11.673	11.712	11.751	11.79	11.829	11.868	11.907	11.946	11.985	12.024	12.063	12.102	12.141	12.18	12.219	12.258	12.297	12.336	12.375	12.414	12.453	12.492	12.531	12.57	12.609	12.648	12.687	12.726	12.765	12.804	12.843	12.882	12.921	12.96	12.999	13.038	13.077	13.116	13.155	13.194	13.233	13.272	13.311	13.35	13.389	13.428	13.467	13.506	13.545	13.584	13.623	13.662	13.701	13.74	13.779	13.818	13.857	13.896	13.935	13.974	14.013	14.052	14.091	14.13	14.169	14.208	14.247	14.286	14.325	14.364	14.403	14.442	14.481	14.52	14.559	14.598	14.637	14.676	14.715	14.754	14.793	14.832	14.871	14.91	14.949	14.988	15.027	15.066	15.105	15.144	15.183	15.222	15.261
11	bunker3	N1657801	N4351810	13.642857999999999	0.4682539683	126	bunker3 N1657801	2.714	2.824	2.933	3.042	3.151	3.261	3.37	3.479	3.589	3.698	3.807	3.916	4.026	4.135	4.244	4.354	4.463	4.572	4.681	4.791	4.9	5.009	5.119	5.228	5.337	5.446	5.556	5.665	5.774	5.884	5.993	6.102	6.211	6.321	6.43	6.539	6.649	6.758	6.867	6.976	7.086	7.195	7.304	7.414	7.523	7.632	7.741	7.851	7.96	8.069	8.179	8.288	8.397	8.506	8.616	8.725	8.834	8.944	9.053	9.162	9.271	9.381	9.49	9.599	9.709	9.818	9.927	10.036	10.146	10.255	10.364	10.474	10.583	10.692	10.801	10.911	11.02	11.129	11.239	11.348	11.457	11.566	11.676	11.785	11.894	12.004	12.113	12.222	12.331	12.441	12.55	12.659	12.769	12.878	12.987	13.096	13.206	13.315	13.424	13.534
10	bunker3	N1657801	N7360841	11.928571	0.5317460317	126	bunker3 N1657801	5.857	5.918	5.979	6.039	6.1	6.161	6.221	6.282	6.343	6.404	6.464	6.525	6.586	6.646	6.707	6.768	6.829	6.889	6.95	7.011	7.071	7.132	7.193	7.254	7.314	7.375	7.436	7.496	7.557	7.618	7.679	7.739	7.8	7.861	7.921	7.982	8.043	8.104	8.164	8.225	8.286	8.346	8.407	8.468	8.529	8.589	8.65	8.711	8.771	8.832	8.893	8.954	9.014	9.075	9.136	9.196	9.257	9.318	9.379	9.439	9.5	9.561	9.621	9.682	9.743	9.804	9.864	9.925	9.986	10.046	10.107	10.168	10.229	10.289	10.35	10.411	10.471	10.532	10.593	10.654	10.714	10.775	10.836	10.896	10.957	11.018	11.079	11.139	11.2	11.261	11.321	11.382	11.443	11.504	11.564	11.625	11.686	11.746	11.807	11.868
58	cathedral	N7058269	N6051250	16.333332000000002	0.3978494624	93	cathedral N7058269	9.167	9.238	9.31	9.382	9.453	9.525	9.597	9.668	9.74	9.812	9.883	9.955	10.027	10.098	10.17	10.242	10.313	10.385	10.457	10.528	10.6	10.672	10.743	10.815	10.887	10.958	11.03	11.102	11.173	11.245	11.317	11.388	11.46	11.532	11.603	11.675	11.747	11.818	11.89	11.962	12.033	12.105	12.177	12.248	12.32	12.392	12.463	12.535	12.607	12.678	12.75	12.822	12.893	12.965	13.037	13.108	13.18	13.252	13.323	13.395	13.467	13.538	13.61	13.682	13.753	13.825	13.897	13.968	14.04	14.112	14.183	14.255	14.327	14.398	14.47	14.542	14.613	14.685	14.757	14.828	14.9	14.972	15.043	15.115	15.187	15.258	15.33	15.402	15.473	15.545	15.617	15.688	15.76	15.832	15.903	15.975	16.047	16.118	16.19	16.262
59	cathedral	N7058269	N6429694	18.666667999999998	0.6021505375999999	93	cathedral N7058269	1.833	2.002	2.17	2.338	2.507	2.675	2.843	3.012	3.18	3.348	3.517	3.685	3.853	4.022	4.19	4.358	4.527	4.695	4.863	5.032	5.2	5.368	5.537	5.705	5.873	6.042	6.21	6.378	6.547	6.715	6.883	7.052	7.22	7.388	7.557	7.725	7.893	8.062	8.23	8.398	8.567	8.735	8.903	9.072	9.24	9.408	9.577	9.745	9.913	10.082	10.25	10.418	10.587	10.755	10.923	11.092	11.26	11.428	11.597	11.765	11.933	12.102	12.27	12.438	12.607	12.775	12.943	13.112	13.28	13.448	13.617	13.785	13.953	14.122	14.29	14.458	14.627	14.795	14.963	15.132	15.3	15.468	15.637	15.805	15.973	16.142	16.31	16.478	16.647	16.815	16.983	17.152	17.32	17.488	17.657	17.825	17.993	18.162	18.33	18.498
24	cathedral	N608136	N9813836	14.300001000000002	0.2118644068	118	cathedral N608136	3.9	4.004	4.108	4.212	4.316	4.42	4.524	4.628	4.732	4.836	4.94	5.044	5.148	5.252	5.356	5.46	5.564	5.668	5.772	5.876	5.98	6.084	6.188	6.292	6.396	6.5	6.604	6.708	6.812	6.916	7.02	7.124	7.228	7.332	7.436	7.54	7.644	7.748	7.852	7.956	8.06	8.164	8.268	8.372	8.476	8.58	8.684	8.788	8.892	8.996	9.1	9.204	9.308	9.412	9.516	9.62	9.724	9.828	9.932	10.036	10.14	10.244	10.348	10.452	10.556	10.66	10.764	10.868	10.972	11.076	11.18	11.284	11.388	11.492	11.596	11.7	11.804	11.908	12.012	12.116	12.22	12.324	12.428	12.532	12.636	12.74	12.844	12.948	13.052	13.156	13.26	13.364	13.468	13.572	13.676	13.78	13.884	13.988	14.092	14.196
23	cathedral	N608136	N7058269	13.299999	0.7881355931999999	118	cathedral N608136	3.5	3.598	3.696	3.794	3.892	3.99	4.088	4.186	4.284	4.382	4.48	4.578	4.676	4.774	4.872	4.97	5.068	5.166	5.264	5.362	5.46	5.558	5.656	5.754	5.852	5.95	6.048	6.146	6.244	6.342	6.44	6.538	6.636	6.734	6.832	6.93	7.028	7.126	7.224	7.322	7.42	7.518	7.616	7.714	7.812	7.91	8.008	8.106	8.204	8.302	8.4	8.498	8.596	8.694	8.792	8.89	8.988	9.086	9.184	9.282	9.38	9.478	9.576	9.674	9.772	9.87	9.968	10.066	10.164	10.262	10.36	10.458	10.556	10.654	10.752	10.85	10.948	11.046	11.144	11.242	11.34	11.438	11.536	11.634	11.732	11.83	11.928	12.026	12.124	12.222	12.32	12.418	12.516	12.614	12.712	12.81	12.908	13.006	13.104	13.202
0	courtyard	N3719219	N990982	6.8	0.7777777778	126	courtyard N3719219	2.2	2.246	2.292	2.338	2.384	2.43	2.476	2.522	2.568	2.614	2.66	2.706	2.752	2.798	2.844	2.89	2.936	2.982	3.028	3.074	3.12	3.166	3.212	3.258	3.304	3.35	3.396	3.442	3.488	3.534	3.58	3.626	3.672	3.718	3.764	3.81	3.856	3.902	3.948	3.994	4.04	4.086	4.132	4.178	4.224	4.27	4.316	4.362	4.408	4.454	4.5	4.546	4.592	4.638	4.684	4.73	4.776	4.822	4.868	4.914	4.96	5.006	5.052	5.098	5.144	5.19	5.236	5.282	5.328	5.374	5.42	5.466	5.512	5.558	5.604	5.65	5.696	5.742	5.788	5.834	5.88	5.926	5.972	6.018	6.064	6.11	6.156	6.202	6.248	6.294	6.34	6.386	6.432	6.478	6.524	6.57	6.616	6.662	6.708	6.754
2	courtyard	N990982	N6673600	7.666666499999999	1.0	98	courtyard N990982	2.0	2.057	2.113	2.17	2.227	2.283	2.34	2.397	2.453	2.51	2.567	2.623	2.68	2.737	2.793	2.85	2.907	2.963	3.02	3.077	3.133	3.19	3.247	3.303	3.36	3.417	3.473	3.53	3.587	3.643	3.7	3.757	3.813	3.87	3.927	3.983	4.04	4.097	4.153	4.21	4.267	4.323	4.38	4.437	4.493	4.55	4.607	4.663	4.72	4.777	4.833	4.89	4.947	5.003	5.06	5.117	5.173	5.23	5.287	5.343	5.4	5.457	5.513	5.57	5.627	5.683	5.74	5.797	5.853	5.91	5.967	6.023	6.08	6.137	6.193	6.25	6.307	6.363	6.42	6.477	6.533	6.59	6.647	6.703	6.76	6.817	6.873	6.93	6.987	7.043	7.1	7.157	7.213	7.27	7.327	7.383	7.44	7.497	7.553	7.61
