	world	node	child	value	prob	N	hash	dv_0.7	dv_0.71	dv_0.72	dv_0.73	dv_0.74	dv_0.75	dv_0.76	dv_0.77	dv_0.78	dv_0.79	dv_0.8	dv_0.81	dv_0.82	dv_0.83	dv_0.84	dv_0.85	dv_0.86	dv_0.87	dv_0.88	dv_0.89	dv_0.9	dv_0.91	dv_0.92	dv_0.93	dv_0.94	dv_0.95	dv_0.96	dv_0.97	dv_0.98	dv_0.99
49	bunker3	N4351810	N9720811	16.9	0.8305084745999999	59	bunker3 N4351810	12.52	12.666	12.812	12.958	13.104	13.25	13.396	13.542	13.688	13.834	13.98	14.126	14.272	14.418	14.564	14.71	14.856	15.002	15.148	15.294	15.44	15.586	15.732	15.878	16.024	16.17	16.316	16.462	16.608	16.754
48	bunker3	N4351810	N6831977	15.3	0.16949152539999998	59	bunker3 N4351810	14.13	14.169	14.208	14.247	14.286	14.325	14.364	14.403	14.442	14.481	14.52	14.559	14.598	14.637	14.676	14.715	14.754	14.793	14.832	14.871	14.91	14.949	14.988	15.027	15.066	15.105	15.144	15.183	15.222	15.261
11	bunker3	N1657801	N4351810	13.642857999999999	0.4682539683	126	bunker3 N1657801	10.364	10.474	10.583	10.692	10.801	10.911	11.02	11.129	11.239	11.348	11.457	11.566	11.676	11.785	11.894	12.004	12.113	12.222	12.331	12.441	12.55	12.659	12.769	12.878	12.987	13.096	13.206	13.315	13.424	13.534
10	bunker3	N1657801	N7360841	11.928571	0.5317460317	126	bunker3 N1657801	10.107	10.168	10.229	10.289	10.35	10.411	10.471	10.532	10.593	10.654	10.714	10.775	10.836	10.896	10.957	11.018	11.079	11.139	11.2	11.261	11.321	11.382	11.443	11.504	11.564	11.625	11.686	11.746	11.807	11.868
58	cathedral	N7058269	N6051250	16.333332000000002	0.3978494624	93	cathedral N7058269	14.183	14.255	14.327	14.398	14.47	14.542	14.613	14.685	14.757	14.828	14.9	14.972	15.043	15.115	15.187	15.258	15.33	15.402	15.473	15.545	15.617	15.688	15.76	15.832	15.903	15.975	16.047	16.118	16.19	16.262
59	cathedral	N7058269	N6429694	18.666667999999998	0.6021505375999999	93	cathedral N7058269	13.617	13.785	13.953	14.122	14.29	14.458	14.627	14.795	14.963	15.132	15.3	15.468	15.637	15.805	15.973	16.142	16.31	16.478	16.647	16.815	16.983	17.152	17.32	17.488	17.657	17.825	17.993	18.162	18.33	18.498
24	cathedral	N608136	N9813836	14.300001000000002	0.2118644068	118	cathedral N608136	11.18	11.284	11.388	11.492	11.596	11.7	11.804	11.908	12.012	12.116	12.22	12.324	12.428	12.532	12.636	12.74	12.844	12.948	13.052	13.156	13.26	13.364	13.468	13.572	13.676	13.78	13.884	13.988	14.092	14.196
23	cathedral	N608136	N7058269	13.299999	0.7881355931999999	118	cathedral N608136	10.36	10.458	10.556	10.654	10.752	10.85	10.948	11.046	11.144	11.242	11.34	11.438	11.536	11.634	11.732	11.83	11.928	12.026	12.124	12.222	12.32	12.418	12.516	12.614	12.712	12.81	12.908	13.006	13.104	13.202
0	courtyard	N3719219	N990982	6.8	0.7777777778	126	courtyard N3719219	5.42	5.466	5.512	5.558	5.604	5.65	5.696	5.742	5.788	5.834	5.88	5.926	5.972	6.018	6.064	6.11	6.156	6.202	6.248	6.294	6.34	6.386	6.432	6.478	6.524	6.57	6.616	6.662	6.708	6.754
2	courtyard	N990982	N6673600	7.666666499999999	1.0	98	courtyard N990982	5.967	6.023	6.08	6.137	6.193	6.25	6.307	6.363	6.42	6.477	6.533	6.59	6.647	6.703	6.76	6.817	6.873	6.93	6.987	7.043	7.1	7.157	7.213	7.27	7.327	7.383	7.44	7.497	7.553	7.61
1	courtyard	N3719219	N3977188	8.2	0.22222222219999999	126	courtyard N3719219	6.79	6.837	6.884	6.931	6.978	7.025	7.072	7.119	7.166	7.213	7.26	7.307	7.354	7.401	7.448	7.495	7.542	7.589	7.636	7.683	7.73	7.777	7.824	7.871	7.918	7.965	8.012	8.059	8.106	8.153
3	courtyard	N990982	N3622934	14.0	0.0	98	courtyard N990982	12.4	12.453	12.507	12.56	12.613	12.667	12.72	12.773	12.827	12.88	12.933	12.987	13.04	13.093	13.147	13.2	13.253	13.307	13.36	13.413	13.467	13.52	13.573	13.627	13.68	13.733	13.787	13.84	13.893	13.947
4	cubicles	N7210304	N2319363	9.0	0.8492063492	126	cubicles N7210304	6.457	6.541	6.626	6.711	6.796	6.88	6.965	7.05	7.135	7.22	7.304	7.389	7.474	7.559	7.643	7.728	7.813	7.898	7.983	8.067	8.152	8.237	8.322	8.407	8.491	8.576	8.661	8.746	8.83	8.915
84	cubicles	N8892822	N9981263	18.5	0.9285714286	42	cubicles N8892822	13.925	14.078	14.23	14.382	14.535	14.688	14.84	14.993	15.145	15.298	15.45	15.602	15.755	15.908	16.06	16.212	16.365	16.518	16.67	16.822	16.975	17.128	17.28	17.432	17.585	17.738	17.89	18.043	18.195	18.348
35	cubicles	N9487763	N3493111	19.1	0.0	15	cubicles N9487763	14.15	14.315	14.48	14.645	14.81	14.975	15.14	15.305	15.47	15.635	15.8	15.965	16.13	16.295	16.46	16.625	16.79	16.955	17.12	17.285	17.45	17.615	17.78	17.945	18.11	18.275	18.44	18.605	18.77	18.935
34	cubicles	N9487763	N8892822	17.1	0.4	15	cubicles N9487763	12.66	12.808	12.956	13.104	13.252	13.4	13.548	13.696	13.844	13.992	14.14	14.288	14.436	14.584	14.732	14.88	15.028	15.176	15.324	15.472	15.62	15.768	15.916	16.064	16.212	16.36	16.508	16.656	16.804	16.952
33	cubicles	N9487763	N9527877	14.700001	0.6	15	cubicles N9487763	11.61	11.713	11.816	11.919	12.022	12.125	12.228	12.331	12.434	12.537	12.64	12.743	12.846	12.949	13.052	13.155	13.258	13.361	13.464	13.567	13.67	13.773	13.876	13.979	14.082	14.185	14.288	14.391	14.494	14.597
113	cubicles	N9981263	N2053914	20.333332000000002	0.9767441859999999	43	cubicles N9981263	18.033	18.11	18.187	18.263	18.34	18.417	18.493	18.57	18.647	18.723	18.8	18.877	18.953	19.03	19.107	19.183	19.26	19.337	19.413	19.49	19.567	19.643	19.72	19.797	19.873	19.95	20.027	20.103	20.18	20.257
85	cubicles	N8892822	N2137138	19.0	0.0714285714	42	cubicles N8892822	15.55	15.665	15.78	15.895	16.01	16.125	16.24	16.355	16.47	16.585	16.7	16.815	16.93	17.045	17.16	17.275	17.39	17.505	17.62	17.735	17.85	17.965	18.08	18.195	18.31	18.425	18.54	18.655	18.77	18.885
5	cubicles	N7210304	N8435133	10.652175	0.1507936508	126	cubicles N7210304	7.848	7.941	8.035	8.128	8.222	8.315	8.409	8.502	8.596	8.689	8.783	8.876	8.97	9.063	9.157	9.25	9.343	9.437	9.53	9.624	9.717	9.811	9.904	9.998	10.091	10.185	10.278	10.372	10.465	10.559
22	cubicles	N9556533	N4932175	14.642857000000001	0.21052631579999997	19	cubicles N9556533	10.636	10.769	10.903	11.036	11.17	11.304	11.437	11.571	11.704	11.838	11.971	12.105	12.239	12.372	12.506	12.639	12.773	12.906	13.04	13.174	13.307	13.441	13.574	13.708	13.841	13.975	14.109	14.242	14.376	14.509
