world	node	child	value	prob	N	hash	numElements
bunker3	N4351810	N9720811	16.9	0.8305084745999999	59	bunker3 N4351810	1
bunker3	N4351810	N6831977	15.3	0.16949152539999998	59	bunker3 N4351810	1
bunker3	N1657801	N4351810	13.642857999999999	0.4682539683	126	bunker3 N1657801	2
bunker3	N1657801	N7360841	11.928571	0.5317460317	126	bunker3 N1657801	2
cathedral	N7058269	N6051250	16.333332000000002	0.3978494624	93	cathedral N7058269	2
cathedral	N7058269	N6429694	18.666667999999998	0.6021505375999999	93	cathedral N7058269	2
cathedral	N608136	N9813836	14.300001000000002	0.2118644068	118	cathedral N608136	3
cathedral	N608136	N7058269	13.299999	0.7881355931999999	118	cathedral N608136	3
courtyard	N3719219	N990982	6.8	0.7777777778	126	courtyard N3719219	2
courtyard	N990982	N6673600	7.666666499999999	1.0	98	courtyard N990982	1
courtyard	N3719219	N3977188	8.2	0.22222222219999999	126	courtyard N3719219	2
courtyard	N990982	N3622934	14.0	0.0	98	courtyard N990982	1
cubicles	N7210304	N2319363	9.0	0.8492063492	126	cubicles N7210304	6
cubicles	N8892822	N9981263	18.5	0.9285714286	42	cubicles N8892822	2
cubicles	N9487763	N3493111	19.1	0.0	15	cubicles N9487763	3
cubicles	N9487763	N8892822	17.1	0.4	15	cubicles N9487763	3
cubicles	N9487763	N9527877	14.700001	0.6	15	cubicles N9487763	3
cubicles	N9981263	N2053914	20.333332000000002	0.9767441859999999	43	cubicles N9981263	1
cubicles	N8892822	N2137138	19.0	0.0714285714	42	cubicles N8892822	2
cubicles	N7210304	N8435133	10.652175	0.1507936508	126	cubicles N7210304	6
cubicles	N9556533	N4932175	14.642857000000001	0.21052631579999997	19	cubicles N9556533	4
cubicles	N8892822	N5568770	22.5	0.0	42	cubicles N8892822	2
cubicles	N9981263	N2381213	24.999998	0.023255814	43	cubicles N9981263	1
cubicles	N4606479	N7119625	20.333332000000002	0.0	3	cubicles N4606479	1
cubicles	N4606479	N6517911	21.0	1.0	3	cubicles N4606479	1
cubicles	N7167978	N4606479	19.125	0.75	4	cubicles N7167978	2
cubicles	N2319363	N3487541	13.549999	0.0	107	cubicles N2319363	5
cubicles	N7167978	N6349558	16.625	0.25	4	cubicles N7167978	2
cubicles	N117979	N3494734	15.124998999999999	0.3396226415	106	cubicles N117979	2
cubicles	N117979	N2528154	12.625	0.6603773585	106	cubicles N117979	2
cubicles	N9556533	N9487763	13.214286999999999	0.7894736842	19	cubicles N9556533	4
cubicles	N8435133	N4303499	15.499998999999999	0.0	19	cubicles N8435133	5
cubicles	N8435133	N9556533	11.944446000000001	1.0	19	cubicles N8435133	5
cubicles	N2319363	N2367950	9.75	1.0	107	cubicles N2319363	5
garden	N8153414	N6330284	23.2	1.0	27	garden N8153414	2
garden	N8153414	N6675860	26.000002	0.0	27	garden N8153414	2
garden	N7850553	N6320060	18.0	0.6551724138	58	garden N7850553	4
garden	N4613075	N5298440	21.285717	0.5	20	garden N4613075	3
garden	N7603509	N2138712	16.916666	0.84375	32	garden N7603509	4
garden	N7850553	N4613075	18.400002	0.3448275862	58	garden N7850553	4
garden	N9476286	N5061495	21.2	0.6315789474	38	garden N9476286	2
garden	N4747663	N4619086	20.090908	0.5833333333	36	garden N4747663	4
garden	N3123108	N9923259	22.444447	0.8	5	garden N3123108	3
garden	N3123108	N5359231	22.444447	0.2	5	garden N3123108	3
garden	N8246099	N4984823	23.111113	0.0666666667	15	garden N8246099	3
garden	N8246099	N7102836	22.222225	0.0	15	garden N8246099	3
garden	N4613075	N4016530	24.428572	0.0	20	garden N4613075	3
garden	N4747663	N8246099	20.090908	0.4166666667	36	garden N4747663	4
garden	N4747663	N1289190	20.454544	0.0	36	garden N4747663	4
garden	N4747663	N5433401	21.181818	0.0	36	garden N4747663	4
garden	N4210096	N7830461	22.0	0.3703703704	27	garden N4210096	2
garden	N4210096	N7991449	21.2	0.6296296296	27	garden N4210096	2
garden	N9476286	N9813497	22.0	0.36842105259999997	38	garden N9476286	2
garden	N3123108	N3458250	22.88889	0.0	5	garden N3123108	3
garden	N8246099	N7340845	22.222220999999998	0.9333333333	15	garden N8246099	3
garden	N7603509	N3123108	20.083336	0.15625	32	garden N7603509	4
garden	N4613075	N8153414	20.714287	0.5	20	garden N4613075	3
garden	N5115068	N4747663	17.714285	0.2857142857	126	garden N5115068	5
garden	N5359231	N8342286	24.714287	0.0	25	garden N5359231	2
garden	N4984823	N3931278	24.714287	1.0	1	garden N4984823	2
garden	N4984823	N5039419	30.714287	0.0	1	garden N4984823	2
garden	N5115068	N7603509	15.571428	0.253968254	126	garden N5115068	5
garden	N5115068	N7850553	15.000001000000001	0.46031746030000004	126	garden N5115068	5
garden	N5359231	N1983367	24.714287	1.0	25	garden N5359231	2
ikea	N2396034	N239392	23.5	0.0	2	ikea N2396034	2
ikea	N2396034	N5268104	22.5	1.0	2	ikea N2396034	2
ikea	N4486578	N2531862	19.5	0.9848484848000001	66	ikea N4486578	1
ikea	N4486578	N132046	22.5	0.0151515152	66	ikea N4486578	1
ikea	N4631048	N9016413	19.500002	0.9473684211	38	ikea N4631048	2
ikea	N4631048	N5861572	23.166666	0.052631578899999996	38	ikea N4631048	2
ikea	N100354	N1400368	19.5	0.164556962	79	ikea N100354	2
ikea	N9812190	N1448237	16.105263	0.373015873	126	ikea N9812190	4
ikea	N9812190	N6109064	14.526314999999999	0.6269841270000001	126	ikea N9812190	4
ikea	N1400368	N9676480	20.5	0.9230769231	13	ikea N1400368	1
ikea	N1400368	N2021230	23.5	0.0769230769	13	ikea N1400368	1
ikea	N234416	N9299941	23.666666	0.0	7	ikea N234416	2
ikea	N234416	N6099980	23.666666	0.0	7	ikea N234416	2
ikea	N234416	N3896859	21.0	1.0	7	ikea N234416	2
ikea	N4631048	N6560058	22.166667999999998	0.0	38	ikea N4631048	2
ikea	N100354	N4486578	18.5	0.835443038	79	ikea N100354	2
ikea	N5861572	N8432610	27.3	0.3333333333	3	ikea N5861572	1
ikea	N9299941	N4612840	24.900002	1.0	1	ikea N9299941	1
ikea	N1448237	N234416	19.785715	0.1489361702	47	ikea N1448237	3
ikea	N1448237	N2396034	18.785713	0.042553191500000004	47	ikea N1448237	3
ikea	N1448237	N4631048	18.357143	0.8085106383	47	ikea N1448237	3
ikea	N5861572	N4207326	24.5	0.6666666667	3	ikea N5861572	1
ikea	N9299941	N1515191	27.3	0.0	1	ikea N9299941	1
ikea	N5268104	N386561	23.5	1.0	2	ikea N5268104	1
ikea	N5268104	N7542936	26.5	0.0	2	ikea N5268104	1
lab	N7839123	N6747577	22.142857	0.7	20	lab N7839123	4
lab	N7839123	N3878758	21.857143	0.3	20	lab N7839123	4
lab	N9798875	N8488385	31.2	0.0	5	lab N9798875	2
lab	N239923	N1797478	28.833332000000002	0.2941176471	17	lab N239923	1
lab	N239923	N9684539	30.166664	0.7058823529000001	17	lab N239923	1
lab	N3936820	N4841925	28.833332000000002	0.2666666667	30	lab N3936820	1
lab	N3936820	N7852858	30.166664	0.7333333333	30	lab N3936820	1
lab	N1930098	N1501992	29.0	0.8888888889	9	lab N1930098	2
lab	N63617	N242960	23.7	0.0	17	lab N63617	4
lab	N7839123	N4211456	25.0	0.0	20	lab N7839123	4
lab	N5408887	N441665	31.2	0.0	1	lab N5408887	2
lab	N5745806	N7444307	25.11111	0.0322580645	31	lab N5745806	3
lab	N3878758	N3706462	27.2	0.0	6	lab N3878758	3
lab	N3878758	N8861539	25.6	0.0	6	lab N3878758	3
lab	N3878758	N6463419	24.8	1.0	6	lab N3878758	3
lab	N5408887	N5399461	34.0	1.0	1	lab N5408887	2
lab	N1930098	N2539902	33.0	0.11111111109999999	9	lab N1930098	2
lab	N9798875	N5984201	28.0	1.0	5	lab N9798875	2
lab	N5745806	N9798875	24.222223	0.0	31	lab N5745806	3
lab	N7646124	N1142105	28.285713	0.0	17	lab N7646124	2
lab	N63617	N6241308	24.5	0.0	17	lab N63617	4
lab	N2601690	N7646124	26.249997999999998	0.8947368420999999	19	lab N2601690	3
lab	N63617	N5745806	22.9	1.0	17	lab N63617	4
lab	N3633749	N9447532	23.777779000000002	0.0	13	lab N3633749	4
lab	N3633749	N2601690	23.777779000000002	1.0	13	lab N3633749	4
lab	N3633749	N752499	23.777777	0.0	13	lab N3633749	4
lab	N2601690	N1930098	25.25	0.052631578899999996	19	lab N2601690	3
lab	N6747577	N7985505	23.5	1.0	14	lab N6747577	3
lab	N6747577	N1618589	25.5	0.0	14	lab N6747577	3
lab	N6747577	N7823548	27.833332000000002	0.0	14	lab N6747577	3
lab	N2601690	N124975	26.25	0.052631578899999996	19	lab N2601690	3
