world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
tworooms3	(0,0)	N424401	NA	p(0,0);	0	0	0	0	FALSE	10.679999	0	25	
tworooms3	(3,0)	N6734982	N424401	p(0,0);p(1,0);p(2,0);p(3,0);	1	5	3	3	FALSE	10.679999	15	20	1,2,3,4,5
tworooms3	(3,3)	N2756697	N6734982	p(3,0);p(3,1);p(3,2);p(3,3);	2	5	3	6	FALSE	11.849999	9	15	3,2,1,1,2
tworooms3	(5,3)	N9984212	N2756697	p(3,3);p(4,3);p(5,3);	3	3	2	8	FALSE	15.466667	4	12	1,1,2
tworooms3	(1,3)	N6231921	N2756697	p(3,3);p(2,3);p(1,3);	3	6	2	8	FALSE	13.2	11	9	2,1,2,1,3,2
tworooms3	(5,2)	N8172582	N9984212	p(5,3);p(5,2);	4	2	1	9	FALSE	17	3	10	1,2
tworooms3	(5,5)	N9405780	N9984212	p(5,3);p(5,4);p(5,5);	4	2	2	10	FALSE	18.499998	3	10	1,2
tworooms3	(1,3)	N5782802	N9984212	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	4	6	4	12	FALSE	17.166666	11	6	2,1,2,1,3,2
tworooms3	(5,3)	N3742426	N6231921	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	4	3	4	12	FALSE	15.444444	4	6	1,1,2
tworooms3	(7,2)	N5015978	N8172582	p(5,2);p(6,2);p(7,2);	5	3	2	11	FALSE	18.3	6	7	1,2,3
tworooms3	(5,5)	N8949303	N8172582	p(5,2);p(5,3);p(5,4);p(5,5);	5	2	3	12	FALSE	19.900002	3	8	1,2
tworooms3	(1,3)	N3313077	N8172582	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6	5	14	FALSE	18.5	11	4	2,1,2,1,3,2
tworooms3	(7,5)	N1318765	N9405780	p(5,5);p(6,5);p(7,5);	5	3	2	12	FALSE	19.9	6	7	3,2,1
tworooms3	(5,2)	N6442474	N9405780	p(5,5);p(5,4);p(5,3);p(5,2);	5	2	3	13	FALSE	20.1	3	8	1,2
tworooms3	(1,3)	N9951593	N9405780	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6	6	16	FALSE	20.1	11	4	2,1,2,1,3,2
tworooms3	(5,2)	N8251984	N5782802	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	5	2	5	17	FALSE	20.5	3	4	1,2
tworooms3	(5,5)	N3909674	N5782802	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	5	2	6	18	FALSE	21.5	3	4	1,2
tworooms3	(5,2)	N7308812	N3742426	p(5,3);p(5,2);	5	2	1	13	FALSE	16.5	3	4	1,2
tworooms3	(5,5)	N5099996	N3742426	p(5,3);p(5,4);p(5,5);	5	2	2	14	FALSE	17.5	3	4	1,2
tworooms3	(7,5)	N9413440	N5015978	p(7,2);p(7,3);p(7,4);p(7,5);	6	1	3	14	FALSE	22.571428	1	6	1
tworooms3	(1,3)	N4046475	N5015978	p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	7	18	FALSE	20.571428	11	1	2,1,2,1,3,2
tworooms3	(7,5)	N3483901	N8949303	p(5,5);p(6,5);p(7,5);	6	2	2	14	FALSE	21.75	3	6	2,1
tworooms3	(1,3)	N9072271	N8949303	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	6	18	FALSE	21.5	11	2	2,1,2,1,3,2
tworooms3	(5,5)	N6463410	N3313077	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	6	2	6	20	FALSE	22.5	3	2	1,2
tworooms3	(7,2)	N2660289	N3313077	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	6	3	7	21	FALSE	23.5	6	1	1,2,3
tworooms3	(7,2)	N9702880	N1318765	p(7,5);p(7,4);p(7,3);p(7,2);	6	1	3	15	FALSE	22.714287	1	6	1
tworooms3	(1,3)	N8670519	N1318765	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	8	20	FALSE	22.428572	11	1	2,1,2,1,3,2
tworooms3	(7,2)	N1775165	N6442474	p(5,2);p(6,2);p(7,2);	6	2	2	15	FALSE	22	3	6	1,2
tworooms3	(1,3)	N9080112	N6442474	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	5	18	FALSE	21.5	11	2	2,1,2,1,3,2
tworooms3	(5,2)	N6676997	N9951593	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	6	2	5	21	FALSE	23.5	3	2	1,2
tworooms3	(7,5)	N8513593	N9951593	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	6	3	8	24	FALSE	26.5	6	1	3,2,1
tworooms3	(7,2)	N2361676	N8251984	p(5,2);p(6,2);p(7,2);	6	3	2	19	FALSE	21.5	6	1	1,2,3
tworooms3	(5,5)	N7042087	N8251984	p(5,2);p(5,3);p(5,4);p(5,5);	6	2	3	20	FALSE	22.5	3	2	1,2
tworooms3	(7,5)	N9193443	N3909674	p(5,5);p(6,5);p(7,5);	6	3	2	20	FALSE	22.5	6	1	3,2,1
tworooms3	(5,2)	N3059420	N3909674	p(5,5);p(5,4);p(5,3);p(5,2);	6	2	3	21	FALSE	23.5	3	2	1,2
tworooms3	(7,2)	N2487179	N7308812	p(5,2);p(6,2);p(7,2);	6	3	2	15	FALSE	17.5	6	1	1,2,3
tworooms3	(5,5)	N7896720	N7308812	p(5,2);p(5,3);p(5,4);p(5,5);	6	2	3	16	FALSE	18.5	3	2	1,2
tworooms3	(7,5)	N5913515	N5099996	p(5,5);p(6,5);p(7,5);	6	3	2	16	FALSE	18.5	6	1	3,2,1
tworooms3	(5,2)	N9960120	N5099996	p(5,5);p(5,4);p(5,3);p(5,2);	6	2	3	17	FALSE	19.5	3	2	1,2
tworooms3	(1,3)	N2164123	N9413440	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6	8	22	TRUE	23.833334	11	0	2,1,2,1,3,2
tworooms3	(5,5)	N9407820	N4046475	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	7	1	6	24	TRUE	25	1	0	1
tworooms3	(1,3)	N9833348	N3483901	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6	8	22	TRUE	23.833334	11	0	2,1,2,1,3,2
tworooms3	(7,2)	N2666148	N9072271	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	7	2	7	25	TRUE	26.5	3	0	1,2
tworooms3	(7,5)	N334920	N6463410	p(5,5);p(6,5);p(7,5);	7	2	2	22	TRUE	23.5	3	0	2,1
tworooms3	(7,5)	N4151818	N2660289	p(7,2);p(7,3);p(7,4);p(7,5);	7	1	3	24	TRUE	25	1	0	1
tworooms3	(1,3)	N7248429	N9702880	p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6	7	22	TRUE	23.833334	11	0	2,1,2,1,3,2
tworooms3	(5,2)	N1743027	N8670519	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	7	1	5	25	TRUE	26	1	0	1
tworooms3	(1,3)	N1736131	N1775165	p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6	7	22	TRUE	23.833334	11	0	2,1,2,1,3,2
tworooms3	(7,2)	N5093851	N9080112	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	7	2	7	25	TRUE	26.5	3	0	1,2
tworooms3	(7,2)	N7546871	N6676997	p(5,2);p(6,2);p(7,2);	7	2	2	23	TRUE	24.5	3	0	1,2
tworooms3	(7,2)	N7819167	N8513593	p(7,5);p(7,4);p(7,3);p(7,2);	7	1	3	27	TRUE	28	1	0	1
tworooms3	(7,5)	N247646	N2361676	p(7,2);p(7,3);p(7,4);p(7,5);	7	1	3	22	TRU				
