world	node_location	NID	PARENTID	path_from_parent	depth	new_observations	steps_from_parent	steps_from_root	is_leaf	node_value	node_ep	black_remains
lab	(0,0)	N2360	NA	p(0,0);	0	0.0	0	0	FALSE	0.0	3	25
lab	(2,0)	N7986	N2360	p(0,0);p(1,0);p(2,0);	1	7.0	2	2	FALSE	1.68	28	18
lab	(2,2)	N3386	N7986	p(2,0);p(2,1);p(2,2);	2	5.0	2	4	FALSE	2.84	9	13
lab	(4,2)	N6048	N3386	p(2,2);p(3,2);p(4,2);	3	4.0	2	6	FALSE	4.04	6	9
lab	(0,2)	N4497	N3386	p(2,2);p(1,2);p(0,2);	3	2.0	2	6	FALSE	3.44	3	11
lab	(2,5)	N198	N3386	p(2,2);p(2,3);p(2,4);p(2,5);	3	2.0	3	7	FALSE	3.52	3	11
lab	(0,2)	N6065	N6048	p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);	4	2.0	4	10	FALSE	4.96	3	7
lab	(2,5)	N8850	N6048	p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);	4	2.0	5	11	FALSE	5.04	3	7
lab	(4,2)	N8845	N4497	p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);	4	4.0	4	10	FALSE	5.28	6	7
lab	(2,5)	N6676	N4497	p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,5);	4	2.0	5	11	FALSE	4.44	3	9
lab	(2,7)	N1477	N198	p(2,5);p(2,6);p(2,7);	4	2.0	2	9	FALSE	4.36	3	9
lab	(4,5)	N7470	N198	p(2,5);p(3,5);p(4,5);	4	1.0	2	9	FALSE	3.92	1	10
lab	(4,2)	N9178	N198	p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	4	4.0	5	12	FALSE	5.6800003	6	7
lab	(0,2)	N7849	N198	p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);	4	2.0	5	12	FALSE	4.6	3	9
lab	(2,5)	N4052	N6065	p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,5);	5	2.0	5	15	FALSE	6.28	3	5
lab	(2,7)	N2513	N8850	p(2,5);p(2,6);p(2,7);	5	2.0	2	13	FALSE	6.2	3	5
