world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue
E2Maps/bunker3	(0,0)	N6767	NA	p(0,0);	0	0	0	0	FALSE	0
E2Maps/bunker3	(2,0)	N8919	N6767	p(0,0);p(1,0);p(2,0);	1	4	2	2	FALSE	0.7826087
E2Maps/bunker3	(2,4)	N6833	N8919	p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	2	5	4	6	FALSE	2.4782608
E2Maps/bunker3	(4,4)	N3465	N6833	p(2,4);p(3,4);p(4,4);	3	8	2	8	FALSE	6.043478
E2Maps/bunker3	(0,4)	N7118	N6833	p(2,4);p(1,4);p(0,4);	3	4	2	8	FALSE	4.1304345
E2Maps/bunker3	(0,4)	N7490	N3465	p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);	4	4	4	12	FALSE	8.391304
E2Maps/bunker3	(0,6)	N5274	N7118	p(0,4);p(0,5);p(0,6);	4	2	2	10	FALSE	5.1304345
E2Maps/bunker3	(4,4)	N3181	N7118	p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);	4	8	4	12	FALSE	9.086956
E2Maps/bunker3	(0,6)	N5760	N7490	p(0,4);p(0,5);p(0,6);	5	2	2	14	TRUE	9.73913
E2Maps/bunker3	(4,4)	N2346	N5274	p(0,6);p(0,5);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);	5	8	6	16	TRUE	11.47826
E2Maps/bunker3	(0,6)	N7588	N3181	p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);	5	2	6	18	TRUE	10.782608
E2Maps/cathedral	(0,0)	N8932	NA	p(0,0);	0	0	0	0	FALSE	0
E2Maps/cathedral	(0,2)	N5400	N8932	p(0,0);p(0,1);p(0,2);	1	10	2	2	FALSE	2.2916667
E2Maps/cathedral	(3,2)	N930	N5400	p(0,2);p(1,2);p(2,2);p(3,2);	2	4	3	5	FALSE	3.4583335
E2Maps/cathedral	(3,0)	N3185	N930	p(3,2);p(3,1);p(3,0);	3	4	2	7	FALSE	4.916667
E2Maps/cathedral	(3,5)	N4428	N930	p(3,2);p(3,3);p(3,4);p(3,5);	3	4	3	8	FALSE	5.0833335
E2Maps/cathedral	(6,0)	N5624	N3185	p(3,0);p(4,0);p(5,0);p(6,0);	4	1	3	10	FALSE	5.3750005
E2Maps/cathedral	(3,5)	N5752	N3185	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	4	5	12	FALSE	7.208334
E2Maps/cathedral	(6,5)	N3815	N4428	p(3,5);p(4,5);p(5,5);p(6,5);	4	1	3	11	FALSE	5.5833335
E2Maps/cathedral	(3,0)	N944	N4428	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);	4	4	5	13	FALSE	7.541667
E2Maps/cathedral	(3,5)	N6717	N5624	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	5	4	8	18	FALSE	8.666667
E2Maps/cathedral	(6,5)	N7953	N5752	p(3,5);p(4,5);p(5,5);p(6,5);	5	1	3	15	FALSE	7.8750005
E2Maps/cathedral	(6,0)	N3099	N5752	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	5	1	8	20	FALSE	8.083334
E2Maps/cathedral	(3,0)	N5892	N3815	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);	5	4	8	19	FALSE	9.041667
E2Maps/cathedral	(6,0)	N6341	N944	p(3,0);p(4,0);p(5,0);p(6,0);	5	1	3	16	FALSE	8.25
E2Maps/cathedral	(6,5)	N1328	N944	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	5	1	8	21	FALSE	8.458334
E2Maps/cathedral	(6,5)	N5881	N6717	p(3,5);p(4,5);p(5,5);p(6,5);	6	1	3	21	TRUE	9.583334
E2Maps/cathedral	(6,0)	N9990	N7953	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	6	1	11	26	TRUE	9
E2Maps/cathedral	(6,5)	N269	N3099	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	6	1	11	31	TRUE	9.416667
E2Maps/cathedral	(6,0)	N9288	N5892	p(3,0);p(4,0);p(5,0);p(6,0);	6	1	3	22	TRUE	10
E2Maps/cathedral	(6,5)	N5040	N6341	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	6	1	11	27	TRUE	9.416667
E2Maps/cathedral	(6,0)	N4091	N1328	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	6	1	11	32	TRUE	9.833334
E2Maps/courtyard	(0,0)	N204	NA	p(0,0);	0	0	0	0	FALSE	0
E2Maps/courtyard	(3,0)	N9884	N204	p(0,0);p(1,0);p(2,0);p(3,0);	1	4	3	3	FALSE	2.2
E2Maps/courtyard	(0,4)	N9808	N204	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	1	5	4	4	FALSE	3.5
E2Maps/courtyard	(3,2)	N7546	N9884	p(3,0);p(3,1);p(3,2);	2	2	2	5	FALSE	3.4
E2Maps/courtyard	(0,4)	N7026	N9884	p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	2	4	7	10	FALSE	7.3999996
E2Maps/courtyard	(3,4)	N5649	N9808	p(0,4);p(1,4);p(2,4);p(3,4);	2	3	3	7	FALSE	6.2
E2Maps/courtyard	(3,4)	N1275	N7546	p(3,2);p(3,3);p(3,4);	3	4	2	7	TRUE	6.8
E2Maps/courtyard	(3,2)	N4282	N7026	p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	3	2	5	15	TRUE	10.599999
E2Maps/courtyard	(3,2)	N8537	N5649	p(3,4);p(3,3);p(3,2);	3	2	2	9	TRUE	8.2
E2Maps/cubicles	(0,0)	N8591	NA	p(0,0);	0	0	0	0	FALSE	0
E2Maps/cubicles	(2,0)	N2471	N8591	p(0,0);p(1,0);p(2,0);	1	3	2	2	FALSE	0.5217391
E2Maps/cubicles	(0,3)	N5319	N8591	p(0,0);p(0,1);p(0,2);p(0,3);	1	5	3	3	FALSE	1.3043479
E2Maps/cubicles	(3,0)	N9596	N2471	p(2,0);p(3,0);	2	4	1	3	FALSE	1.6521739
E2Maps/cubicles	(0,3)	N5998	N2471	p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);	2	5	5	7	FALSE	2.695652
E2Maps/cubicles	(3,3)	N6791	N5319	p(0,3);p(1,3);p(2,3);p(3,3);	2	4	3	6	FALSE	2.6086957
E2Maps/cubicles	(2,0)	N7777	N5319	p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);	2	3	5	8	FALSE	2.6086957
E2Maps/cubicles	(3,3)	N4438	N9596	p(3,0);p(3,1);p(3,2);p(3,3);	3	4	3	6	FALSE	2.9565217
E2Maps/cubicles	(3,3)	N5277	N5998	p(0,3);p(1,3);p(2,3);p(3,3);	3	3	3	10	FALSE	4.173913
E2Maps/cubicles	(3,5)	N5518	N6791	p(3,3);p(3,4);p(3,5);	3	4	2	8	FALSE	4.2608695
E2Maps/cubicles	(3,1)	N6446	N6791	p(3,3);p(3,2);p(3,1);	3	2	2	8	FALSE	3.3913045
