subject	world	square_path	path_type	error_step	error_node
S11135	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S126242	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(2,3);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S14208	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S164546	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S224593	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S235282	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S247056	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S248332	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S299693	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S319548	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S337973	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
