world	path	probL	probR	probU	probD	subject_node_path	ideal_value_L	ideal_value_R	ideal_value_U	ideal_value_D
courtyard	p(0,0);	0.0	0.7698412698	0.0	0.2301587302	N6609	None	6.8	None	8.2
courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	0.0	0.0103092784	0.0	0.9896907215999999	N6609,N2554	10.6	None	None	6.8
courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	0.0	1.0	0.0	0.0	N6609,N2200	None	8.2	None	None
courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	0.0	0.0357142857	0.9642857143000001	0.0	N6609,N2200,N6173	None	None	8.2	None
library	p(0,0);	0.0	0.664	0.0	0.336	N3151	None	9.5	None	None
library	p(0,0);p(1,0);p(1,1);	0.0	0.0	0.0	1.0	N3151,N8688	None	None	None	9.5
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);	0.0	0.3571428571	0.0	0.6428571429	N3151,N8688,N1452	None	9.75	None	9.5
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);	0.0714285714	0.9285714286	0.0	0.0	N3151,N8688,N1452,N54	11.0	9.75	None	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	0.0	0.0	0.5384615385	0.4615384615	N3151,N8688,N1452,N54,N4714	11.25	None	9.917	9.75
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	0.0	0.0	0.0	1.0	N3151,N8688,N1452,N54,N4714,N3348	None	None	None	10.75
library	p(0,0);p(1,0);	0.0	0.0	0.0	1.0	N3151,N8688	None	None	None	9.5
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);	0.0	0.1686746988	0.0	0.8313253012	N3151,N8688,N1452	None	9.75	None	9.5
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);	0.014492753600000002	0.0	0.9420289854999999	0.043478260899999996	N3151,N8688,N1452,N8106	None	None	9.5	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);	0.0	1.0	0.0	0.0	N3151,N8688,N1452,N8106,N3650	None	9.5	None	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	0.015384615400000001	0.0	0.2461538462	0.7384615385	N3151,N8688,N1452,N8106,N3650,N4693	None	None	9.667	9.5
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);	0.0	0.0	1.0	0.0	N3151,N8688,N1452,N8106	None	None	9.5	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);	0.0	1.0	0.0	0.0	N3151,N8688,N1452,N8106,N3650	None	9.5	None	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	0.0	0.0	0.11111111109999999	0.8888888889	N3151,N8688,N1452,N8106,N3650,N4693	None	None	9.667	9.5
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);	0.0	0.9285714286	0.0714285714	0.0	N3151,N8688,N1452,N54	11.0	9.75	None	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	0.0	0.0	0.5	0.5	N3151,N8688,N1452,N54,N4714	11.25	None	9.917	9.75
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	0.0	0.1666666667	0.0	0.8333333333	N3151,N8688,N1452,N54,N4714,N3348	None	None	None	10.75
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	0.0	0.0	0.0	1.0	N3151,N8688,N1452,N8106,N3650,N4693,N500	None	None	None	9.667
cathedral	p(0,0);	0.0	0.0	0.0	1.0	N1104	None	None	None	9.0
cathedral	p(0,0);p(0,1);p(0,2);	0.0	0.8968253968000001	0.0	0.1031746032	N1104,N2825	None	9.0	None	None
cathedral	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);	0.0	0.0357142857	0.8214285714	0.14285714289999998	N1104,N2825,N8121	None	None	9.0	9.417
cathedral	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);	0.0	0.5777777778000001	0.0	0.4222222222	N1104,N2825,N8121,N589	None	9.583	None	9.0
cathedral	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	0.9019607843	0.0	0.0	0.0980392157	N1104,N2825,N8121,N589,N7314	9.583	None	None	None
cathedral	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);	0.0	0.0	0.0	1.0	N1104,N2825	None	9.0	None	None
museum	p(0,0);	0.0	1.0	0.0	0.0	N6665	None	11.808	None	None
museum	p(0,0);p(1,0);p(2,0);	0.0	0.0	0.0	1.0	N6665,N4368	None	None	None	11.808
museum	p(0,0);p(1,0);p(2,0);p(2,1);	0.0	0.7301587302	0.0	0.2698412698	N6665,N4368,N3808	None	11.808	None	12.808
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);	0.010989011000000002	0.0	0.6483516484	0.3406593407	N6665,N4368,N3808,N8301	13.346	None	11.808	12.115
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	0.8484848484999999	0.0	0.0	0.1515151515	N6665,N4368,N3808,N3961	13.115	None	12.808	None
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);	0.0	1.0	0.0	0.0	N6665,N4368,N3808,N3961,N6042	None	13.115	None	None
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);	0.0	0.0	0.75	0.25	N6665,N4368,N3808,N3961,N6042,N6726	None	None	13.115	13.423
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	0.0	0.8571428570999999	0.0	0.14285714289999998	N6665,N4368,N3808,N3961,N6042,N6726,N7734	None	13.423	13.731	None
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);	1.0	0.0	0.0	0.0	N6665,N4368,N3808,N3961,N6042,N6726,N7734,N3278	13.423	None	None	None
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	0.0	0.8666666667	0.1	0.033333333300000004	N6665,N4368,N3808,N8301,N1222	None	12.115	13.192	None
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);	1.0	0.0	0.0	0.0	N6665,N4368,N3808,N8301,N1222,N4585	13.346	None	None	None
