subject	world	squarepath	step	squaretype	rt	numopen	Nr	Sr	Nl	Sl	Nu	Su	Nd	Sd	action	existsL	existsR	existsU	existsD	blackremains
S11135	courtyard	p(0,0);	0	X	1094	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S11135	courtyard	p(0,0);p(1,0);	1	N	607	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S11135	courtyard	p(0,0);p(1,0);p(2,0);	2	N	696	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S11135	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	1368	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S11135	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	456	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S11135	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	960	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S123177	courtyard	p(0,0);	0	X	13562	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S123177	courtyard	p(0,0);p(1,0);	1	N	448	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S123177	courtyard	p(0,0);p(1,0);p(2,0);	2	N	411	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S123177	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	1195	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S123177	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	362	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S123177	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	772	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S126242	courtyard	p(0,0);	0	X	2482	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S126242	courtyard	p(0,0);p(1,0);	1	N	423	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S126242	courtyard	p(0,0);p(1,0);p(2,0);	2	N	433	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S126242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	1280	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S126242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	450	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S126242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	885	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S14208	courtyard	p(0,0);	0	X	2814	0	0	0	0	0	0	0	0	0	D	FALSE	TRUE	FALSE	TRUE	0
S14208	courtyard	p(0,0);p(0,1);	1	N	577	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S14208	courtyard	p(0,0);p(0,1);p(0,2);	2	N	628	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S14208	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);	3	N	683	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S14208	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	4	D	750	5	3	2	0	0	3	6	0	0	R	FALSE	TRUE	TRUE	FALSE	5
S14208	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	5	N	648	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	5
S14208	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);	6	N	712	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	5
S14208	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	7	D	1102	3	0	0	2	3	2	1	0	0	U	TRUE	TRUE	TRUE	FALSE	2
S14208	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);	8	N	544	0	0	0	0	0	0	0	0	0	U	FALSE	FALSE	TRUE	TRUE	2
S14208	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	9	G	837	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S156147	courtyard	p(0,0);	0	X	1548	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S156147	courtyard	p(0,0);p(1,0);	1	N	453	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S156147	courtyard	p(0,0);p(1,0);p(2,0);	2	N	533	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S156147	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	729	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S156147	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	545	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S156147	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	876	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S16432	courtyard	p(0,0);	0	X	2454	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S16432	courtyard	p(0,0);p(1,0);	1	N	423	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S16432	courtyard	p(0,0);p(1,0);p(2,0);	2	N	459	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
