world	node_location	NID	PARENTID	path_from_parent	depth	new_observations	steps_from_parent	steps_from_root	is_leaf	node_value	node_ep	black_remains
ikea	(0,0)	N2990	NA	p(0,0);	0	0.0	0	0	FALSE	0.0	6	29
ikea	(0,3)	N6103	N2990	p(0,0);p(0,1);p(0,2);p(0,3);	1	5.0	3	3	FALSE	1.0344827	15	24
ikea	(3,3)	N9806	N6103	p(0,3);p(1,3);p(2,3);p(3,3);	2	5.0	3	6	FALSE	2.3793101	9	19
ikea	(3,5)	N943	N9806	p(3,3);p(3,4);p(3,5);	3	5.0	2	8	FALSE	4.0689654	9	14
ikea	(3,1)	N1938	N9806	p(3,3);p(3,2);p(3,1);	3	6.0	2	8	FALSE	4.4137926	11	13
ikea	(5,5)	N7351	N943	p(3,5);p(4,5);p(5,5);	4	2.0	2	10	FALSE	4.862069	3	12
ikea	(0,5)	N8963	N943	p(3,5);p(2,5);p(1,5);p(0,5);	4	2.0	3	11	FALSE	4.9310346	3	12
ikea	(3,1)	N784	N943	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	4	6.0	4	12	FALSE	6.931034	11	8
ikea	(3,5)	N2636	N1938	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	5.0	4	12	FALSE	6.793103	9	8
ikea	(5,7)	N5598	N7351	p(5,5);p(5,6);p(5,7);	5	5.0	2	12	FALSE	7.448276	15	7
ikea	(0,5)	N4105	N7351	p(5,5);p(4,5);p(3,5);p(2,5);p(1,5);p(0,5);	5	2.0	5	15	FALSE	6.0	3	10
ikea	(3,1)	N8073	N7351	p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	5	6.0	6	16	FALSE	8.551724	11	6
ikea	(0,7)	N3878	N8963	p(0,5);p(0,6);p(0,7);	5	5.0	2	13	FALSE	7.6896553	15	7
ikea	(5,5)	N2139	N8963	p(0,5);p(1,5);p(2,5);p(3,5);p(4,5);p(5,5);	5	2.0	5	16	FALSE	6.137931	3	10
ikea	(3,1)	N262	N8963	p(0,5);p(1,5);p(2,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	5	6.0	7	18	FALSE	9.034483	11	6
ikea	(5,5)	N8909	N784	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);	5	2.0	6	18	FALSE	8.275862	3	6
