world	path	square	probL	probR	probU	probD	rtL	rtR	rtU	rtD	actionstaken	existsL	existsR	existsU	existsD
courtyard	p(0,0);	X	0	0.7698412698	0	0.2301587302	NA	2158	NA	2936	2	FALSE	TRUE	FALSE	TRUE
courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	0	0.0103092784	0	0.9896907216	NA	370	NA	838	2	TRUE	TRUE	FALSE	TRUE
courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	0	1	0	0	NA	850	NA	NA	1	FALSE	TRUE	TRUE	FALSE
courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	0	0.0357142857	0.9642857143	0	NA	1897	822	NA	2	TRUE	TRUE	TRUE	FALSE
library	p(0,0);	X	0	0.664	0	0.336	NA	1563	NA	2169	2	FALSE	TRUE	FALSE	TRUE
library	p(0,0);p(0,1);p(1,1);	O	0	0	0	1	NA	NA	NA	944.5	1	TRUE	FALSE	TRUE	TRUE
library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);	D	0	0.3571428571	0	0.6428571429	NA	1015	NA	1352	2	FALSE	TRUE	TRUE	TRUE
library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);	D	0.0714285714	0.9285714286	0	0	920	747	NA	NA	2	TRUE	TRUE	TRUE	TRUE
library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	D	0	0	0.5384615385	0.4615384615	NA	NA	1288	1251	2	TRUE	FALSE	TRUE	TRUE
library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	O	0	0	0	1	NA	NA	NA	1224	1	FALSE	TRUE	TRUE	TRUE
library	p(0,0);p(1,0);	D	0	0	0	1	NA	NA	NA	714	1	TRUE	FALSE	FALSE	TRUE
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);	D	0	0.1686746988	0	0.8313253012	NA	1600.5	NA	1081	2	FALSE	TRUE	TRUE	TRUE
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);	O	0.0144927536	0	0.9420289855	0.0434782609	1120	NA	821	283	3	TRUE	FALSE	TRUE	TRUE
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);	D	0	1	0	0	NA	816	NA	NA	1	TRUE	TRUE	TRUE	TRUE
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	D	0.0153846154	0	0.2461538462	0.7384615385	308	NA	1293.5	1184.5	3	TRUE	FALSE	TRUE	TRUE
library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);	O	0	0	1	0	NA	NA	757	NA	1	TRUE	FALSE	TRUE	TRUE
library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);	D	0	1	0	0	NA	895	NA	NA	1	TRUE	TRUE	TRUE	TRUE
