world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromParent	isLeaf	nodeValue	nodeEP	blackremains
E2Maps/roomG	(0,0)	N497	NA	p(0,0);	0	0.0	0	0	FALSE	0.0	6	27
E2Maps/roomG	(3,0)	N8736	N497	p(0,0);p(1,0);p(2,0);p(3,0);	1	5.0	3	3	FALSE	1.1111112	15	22
E2Maps/roomG	(3,3)	N2034	N8736	p(3,0);p(3,1);p(3,2);p(3,3);	2	5.0	3	6	FALSE	2.5555556	9	17
E2Maps/roomG	(5,3)	N2126	N2034	p(3,3);p(4,3);p(5,3);	3	4.0	2	8	FALSE	3.962963	6	13
E2Maps/roomG	(1,3)	N9308	N2034	p(3,3);p(2,3);p(1,3);	3	6.0	2	8	FALSE	4.740741	11	11
E2Maps/roomG	(5,2)	N5880	N2126	p(5,3);p(5,2);	4	4.0	1	9	FALSE	5.5925927	8	9
E2Maps/roomG	(5,5)	N9981	N2126	p(5,3);p(5,4);p(5,5);	4	2.0	2	10	FALSE	4.814815	3	11
E2Maps/roomG	(1,3)	N1226	N2126	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	4	6.0	4	12	FALSE	7.037037	11	7
E2Maps/roomG	(5,3)	N442	N9308	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	4	4.0	4	12	FALSE	6.740741	6	7
E2Maps/roomG	(5,5)	N5308	N5880	p(5,2);p(5,3);p(5,4);p(5,5);	5	2.0	3	12	FALSE	6.5925927	3	7
E2Maps/roomG	(1,3)	N4191	N5880	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6.0	5	14	FALSE	9.111111	11	3
E2Maps/roomG	(7,5)	N1599	N9981	p(5,5);p(6,5);p(7,5);	5	1.0	2	12	FALSE	5.2962966	1	10
E2Maps/roomG	(5,2)	N3016	N9981	p(5,5);p(5,4);p(5,3);p(5,2);	5	4.0	3	13	FALSE	7.0370374	8	7
E2Maps/roomG	(1,3)	N9397	N9981	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6.0	6	16	FALSE	8.777778	11	5
E2Maps/roomG	(5,2)	N6982	N1226	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	5	4.0	5	17	FALSE	9.851851	8	3
E2Maps/roomG	(5,5)	N3009	N1226	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	5	2.0	6	18	FALSE	8.481482	3	5
E2Maps/roomG	(5,2)	N5750	N442	p(5,3);p(5,2);	5	4.0	1	13	FALSE	8.962963	8	3
E2Maps/roomG	(5,5)	N5284	N442	p(5,3);p(5,4);p(5,5);	5	2.0	2	14	FALSE	7.888889	3	5
E2Maps/roomG	(7,5)	N1621	N5308	p(5,5);p(6,5);p(7,5);	6	1.0	2	14	FALSE	7.1481485	1	6
E2Maps/roomG	(1,3)	N3434	N5308	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6.0	6	18	FALSE	11.0	11	1
E2Maps/roomG	(5,5)	N7839	N4191	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	6	2.0	6	20	FALSE	10.703703	3	1
E2Maps/roomG	(5,2)	N745	N1599	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(5,2);	6	4.0	5	17	FALSE	8.111112	8	6
E2Maps/roomG	(1,3)	N785	N1599	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6.0	8	20	FALSE	10.148149	11	4
E2Maps/roomG	(7,5)	N1751	N3016	p(5,2);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	6	1.0	5	18	FALSE	7.7407413	1	6
